year,tag,site,treatment,species,ecoGrp,height,heightNext,diam,diamNext,canopyCover,shrubCover,grassCover,green,scorchHt,resprout,died
1,446,Imalu,Unburnt,Bobov,Pantropical,42.5,54.6,NA,NA,0.450966797,2,8,NA,0,None,No
2,446,Imalu,Unburnt,Bobov,Pantropical,54.6,72,NA,1.1,0.450966797,2,8,NA,0,None,No
2,449,Imalu,Unburnt,Bobov,Pantropical,200,197,3.3,3.7,0.302910156,2.75,2.25,NA,0,None,No
1,449,Imalu,Unburnt,Bobov,Pantropical,289.7,200,3.2,3.3,0.302910156,2.75,2.25,NA,0,None,No
1,450,Imalu,Unburnt,Etetr,Eucalypt,132,157.8,1.1,1,0.342441074,0,5,NA,0,None,No
2,450,Imalu,Unburnt,Etetr,Eucalypt,157.8,162,1,1.2,0.342441074,0,5,NA,0,None,No
2,451,Imalu,Unburnt,Bobov,Pantropical,39.8,65.5,1.3,0.6,0.193730469,2,3,NA,0,None,No
1,451,Imalu,Unburnt,Bobov,Pantropical,73,39.8,1.2,1.3,0.193730469,2,3,NA,0,None,No
2,452,Taracumbi,Unburnt,Cneso,Eucalypt,105.7,110,NA,0.5,0.198977865,4.5,0.5,NA,0,None,No
1,452,Taracumbi,Unburnt,Cneso,Eucalypt,166,105.7,1,NA,0.198977865,4.5,0.5,NA,0,None,No
1,453,Imalu,Unburnt,Bobov,Pantropical,20,30,NA,NA,0.362659505,0.5,4.5,NA,0,Epicormic,No
2,453,Imalu,Unburnt,Bobov,Pantropical,30,59,NA,1.2,0.362659505,0.5,4.5,NA,0,None,No
1,454,Imalu,Unburnt,Alate,Acacia,257,314,1.7,2.1,0.537685547,0.25,4.75,NA,0,None,No
2,454,Imalu,Unburnt,Alate,Acacia,314,350,2.1,2.5,0.537685547,0.25,4.75,NA,0,None,No
1,455,Imalu,Unburnt,Emini,Eucalypt,201.7,221.5,1.1,1.1,0.306695964,0,5,NA,0,Epicormic,No
2,455,Imalu,Unburnt,Emini,Eucalypt,221.5,165,1.1,1.3,0.306695964,0,5,NA,0,None,No
1,456,Taracumbi,Unburnt,Aexce,Pantropical,376.5,416,3.8,4.6,0.514267578,2,3,NA,0,None,No
2,456,Taracumbi,Unburnt,Aexce,Pantropical,416,403.3,4.6,4.5,0.514267578,2,3,NA,0,None,No
1,458,Imalu,Unburnt,Aexce,Pantropical,371.5,399.7,3.2,3.7,0.410035807,4.5,0.5,NA,0,None,No
2,458,Imalu,Unburnt,Aexce,Pantropical,399.7,423.5,3.7,3.5,0.410035807,4.5,0.5,NA,0,None,No
1,459,Imalu,Unburnt,Alate,Acacia,201,222.8,1,1.7,NA,5.25,29.75,NA,0,None,No
2,459,Imalu,Unburnt,Alate,Acacia,222.8,327.5,1.7,2.7,NA,5.25,29.75,NA,0,None,No
1,460,Imalu,Unburnt,Emini,Eucalypt,37.5,79,NA,NA,0.348889974,0,10,NA,0,Epicormic,No
2,460,Imalu,Unburnt,Emini,Eucalypt,79,68,NA,0.2,0.348889974,0,10,NA,0,None,No
2,461,Imalu,Unburnt,Bmega,Pantropical,39,58,NA,1.1,0.469973958,0.5,9.5,NA,0,None,No
1,461,Imalu,Unburnt,Bmega,Pantropical,41,39,NA,NA,0.469973958,0.5,9.5,NA,0,None,No
1,462,Imalu,Unburnt,Pcare,Pantropical,70,73,NA,NA,0.497936198,2,8,NA,0,None,No
2,462,Imalu,Unburnt,Pcare,Pantropical,73,106,NA,1.2,0.497936198,2,8,NA,0,None,No
1,463,Pikertaramoor,Unburnt,Emini,Eucalypt,79.5,135,NA,0.8,0.246953125,NA,NA,NA,0,None,No
2,463,Pikertaramoor,Unburnt,Emini,Eucalypt,135,170.5,0.8,1.2,0.246953125,NA,NA,NA,0,None,No
2,464,Imalu,Unburnt,Bmega,Pantropical,301.3,333.5,4.8,4.7,0.327184245,9,6,NA,0,None,No
1,464,Imalu,Unburnt,Bmega,Pantropical,324.4,301.3,4.5,4.8,0.327184245,9,6,NA,0,None,No
2,465,Pikertaramoor,Unburnt,Etetr,Eucalypt,106.5,301.5,1.2,2.3,0.272041016,NA,NA,NA,0,None,No
1,465,Pikertaramoor,Unburnt,Etetr,Eucalypt,168,106.5,1,1.2,0.272041016,NA,NA,NA,0,Epicormic,No
2,466,Imalu,Unburnt,Pcare,Pantropical,262.4,277.5,3.6,4,0.339775391,0.3,0.7,NA,0,None,No
1,466,Imalu,Unburnt,Pcare,Pantropical,266.1,262.4,3.6,3.6,0.339775391,0.3,0.7,NA,0,None,No
2,467,Imalu,Unburnt,Etetr,Eucalypt,44,37,NA,NA,0.52523763,7.5,7.5,NA,0,None,No
1,467,Imalu,Unburnt,Etetr,Eucalypt,82.5,44,NA,NA,0.52523763,7.5,7.5,NA,0,Epicormic,No
1,468,Taracumbi,Unburnt,Cneso,Eucalypt,148,293,1,2.7,0.430836802,30,0,NA,0,None,No
2,468,Taracumbi,Unburnt,Cneso,Eucalypt,293,306,2.7,3.4,0.430836802,30,0,NA,0,None,No
1,469,Taracumbi,Unburnt,Aexce,Pantropical,278.7,299.4,2.7,2.9,0.318517205,2.5,2.5,NA,0,None,No
2,469,Taracumbi,Unburnt,Aexce,Pantropical,299.4,334.6,2.9,3.3,0.318517205,2.5,2.5,NA,0,None,No
1,470,Imalu,Unburnt,Pcare,Pantropical,151,163,2.4,2.7,0.326070964,3.5,6.5,NA,0,None,No
2,470,Imalu,Unburnt,Pcare,Pantropical,163,206,2.7,3.3,0.326070964,3.5,6.5,NA,0,None,No
1,471,Imalu,Unburnt,Aexce,Pantropical,248.2,287.5,2.5,3.1,0.414453125,1,4,NA,0,None,No
2,471,Imalu,Unburnt,Aexce,Pantropical,287.5,339,3.1,3.7,0.414453125,1,4,NA,0,None,No
1,473,Imalu,Unburnt,Cneso,Eucalypt,384.4,0,2.9,2.7,0.495214844,1,19,NA,0,None,Yes
2,473,Imalu,Unburnt,Cneso,Eucalypt,399,0,2.7,NA,0.495214844,1,19,NA,0,None,Yes
2,474,Imalu,Unburnt,Bmega,Pantropical,246,253.5,4.1,4,0.633046875,8.5,1.5,NA,0,None,No
1,474,Imalu,Unburnt,Bmega,Pantropical,262.8,246,3.7,4.1,0.633046875,8.5,1.5,NA,0,None,No
1,475,Pikertaramoor,Unburnt,Etetr,Eucalypt,415.7,NA,3.8,NA,0.273076172,NA,NA,NA,0,None,No
2,475,Pikertaramoor,Unburnt,Etetr,Eucalypt,NA,607,NA,5,0.273076172,NA,NA,NA,0,None,No
1,476,Imalu,Unburnt,Cneso,Eucalypt,82,103.5,NA,NA,0.204147135,18,42,NA,0,None,No
2,476,Imalu,Unburnt,Cneso,Eucalypt,103.5,147,NA,0.6,0.204147135,18,42,NA,0,None,No
2,477,Imalu,Unburnt,Emini,Eucalypt,161.5,112.5,NA,0.6,0.351350911,0.5,9.5,NA,0,Basal,No
1,477,Imalu,Unburnt,Emini,Eucalypt,NA,161.5,NA,NA,0.351350911,0.5,9.5,NA,0,None,No
1,479,Imalu,Unburnt,Alate,Acacia,230.8,0,1.8,2,0.538147786,8.75,16.25,NA,0,None,Yes
2,479,Imalu,Unburnt,Alate,Acacia,233.5,0,2,NA,0.538147786,8.75,16.25,NA,0,None,Yes
2,480,Imalu,Unburnt,Bmega,Pantropical,24,35,NA,NA,0.642509766,0,20,NA,0,None,No
1,480,Imalu,Unburnt,Bmega,Pantropical,32.5,24,NA,NA,0.642509766,0,20,NA,0,None,No
2,481,Imalu,Unburnt,Bobov,Pantropical,15,33,NA,1.1,0.575976563,0.1,0.9,NA,0,None,No
1,481,Imalu,Unburnt,Bobov,Pantropical,44.5,15,NA,NA,0.575976563,0.1,0.9,NA,0,None,No
1,482,Pikertaramoor,Unburnt,Bmega,Pantropical,82.5,101.5,1.6,2,0.232246094,NA,NA,NA,0,None,No
2,482,Pikertaramoor,Unburnt,Bmega,Pantropical,101.5,137.5,2,2.7,0.232246094,NA,NA,NA,0,None,No
1,483,Imalu,Unburnt,Etetr,Eucalypt,480.3,500.5,3.4,3.8,0.370553385,1,4,NA,0,None,No
2,483,Imalu,Unburnt,Etetr,Eucalypt,500.5,547,3.8,4,0.370553385,1,4,NA,0,None,No
1,484,Imalu,Unburnt,Cneso,Eucalypt,376,414.5,3.6,4,0.294557292,3,7,NA,0,None,No
2,484,Imalu,Unburnt,Cneso,Eucalypt,414.5,481,4,4.7,0.294557292,3,7,NA,0,None,No
2,485,Imalu,Unburnt,Bmega,Pantropical,26,35,NA,NA,0.41343099,0,10,NA,0,None,No
1,485,Imalu,Unburnt,Bmega,Pantropical,47,26,NA,NA,0.41343099,0,10,NA,0,Basal,No
2,486,Imalu,Unburnt,Bobov,Pantropical,244.5,262.5,4.3,4.5,0.576510417,1.5,3.5,NA,0,None,No
1,486,Imalu,Unburnt,Bobov,Pantropical,289.8,244.5,4.6,4.3,0.576510417,1.5,3.5,NA,0,None,No
1,487,Imalu,Unburnt,Aexce,Pantropical,336.1,397.6,3.2,3.7,0.399039714,2.5,2.5,NA,0,None,No
2,487,Imalu,Unburnt,Aexce,Pantropical,397.6,380.5,3.7,4.1,0.399039714,2.5,2.5,NA,0,None,No
2,488,Imalu,Unburnt,Pcare,Pantropical,213,220,3.9,3.6,0.375390625,4,1,NA,0,None,No
1,488,Imalu,Unburnt,Pcare,Pantropical,222.6,213,3.8,3.9,0.375390625,4,1,NA,0,None,No
1,490,Pikertaramoor,Unburnt,Aexce,Pantropical,344,389.1,2.5,4.3,0.271878255,NA,NA,NA,0,None,No
2,490,Pikertaramoor,Unburnt,Aexce,Pantropical,389.1,412,4.3,4,0.271878255,NA,NA,NA,0,None,No
2,491,Imalu,Unburnt,Bobov,Pantropical,270.8,316,4.1,4.2,0.46642984,1,9,NA,0,None,No
1,491,Imalu,Unburnt,Bobov,Pantropical,296.2,270.8,3.5,4.1,0.46642984,1,9,NA,0,None,No
2,492,Imalu,Unburnt,Cneso,Eucalypt,82.5,104.5,NA,0.3,0.499720052,1.5,8.5,NA,0,None,No
1,492,Imalu,Unburnt,Cneso,Eucalypt,130,82.5,NA,NA,0.499720052,1.5,8.5,NA,0,None,No
2,493,Imalu,Unburnt,Pcare,Pantropical,251.8,267.5,4.1,4.1,0.281266276,2.5,2.5,NA,0,None,No
1,493,Imalu,Unburnt,Pcare,Pantropical,273.3,251.8,4,4.1,0.281266276,2.5,2.5,NA,0,None,No
2,494,Imalu,Unburnt,Bobov,Pantropical,130.5,145,2,2.2,0.273942057,2.5,22.5,NA,0,None,No
1,494,Imalu,Unburnt,Bobov,Pantropical,144,130.5,2,2,0.273942057,2.5,22.5,NA,0,None,No
2,495,Shark Bay A,Unburnt,Emini,Eucalypt,154.5,193,NA,0.9,0.706774089,5,0,NA,0,None,No
1,495,Shark Bay A,Unburnt,Emini,Eucalypt,330.6,154.5,1.8,NA,0.706774089,5,0,NA,0,None,No
1,496,Imalu,Unburnt,Emini,Eucalypt,37,110,NA,NA,0.428763021,4.75,0.25,NA,0,Basal,No
2,496,Imalu,Unburnt,Emini,Eucalypt,110,82,NA,0.5,0.428763021,4.75,0.25,NA,0,None,No
1,498,Imalu,Unburnt,Emini,Eucalypt,590.6,642.5,4.5,4.6,0.318522135,2.5,7.5,NA,0,None,No
2,498,Imalu,Unburnt,Emini,Eucalypt,642.5,673,4.6,4.4,0.318522135,2.5,7.5,NA,0,None,No
1,499,Imalu,Unburnt,Cneso,Eucalypt,271.8,291.2,2.1,2.3,0.42625,5,5,NA,0,None,No
2,499,Imalu,Unburnt,Cneso,Eucalypt,291.2,307,2.3,2.7,0.42625,5,5,NA,0,None,No
1,500,Imalu,Unburnt,Etetr,Eucalypt,43,100,NA,NA,0.45858724,0.5,9.5,NA,0,None,No
2,500,Imalu,Unburnt,Etetr,Eucalypt,100,52.5,NA,0.2,0.45858724,0.5,9.5,NA,0,None,No
2,501,Imalu,Unburnt,Etetr,Eucalypt,206.8,142,2,1.9,0.191477865,0,15,NA,0,None,No
1,501,Imalu,Unburnt,Etetr,Eucalypt,211.6,206.8,1.7,2,0.191477865,0,15,NA,0,Epicormic,No
1,502,Imalu,Unburnt,Bobov,Pantropical,15,15,NA,NA,0.372503255,2,8,NA,0,None,No
2,502,Imalu,Unburnt,Bobov,Pantropical,15,36,NA,NA,0.372503255,2,8,NA,0,None,No
1,504,Imalu,Unburnt,Cneso,Eucalypt,363,375.4,2.9,3.2,0.411126302,2,3,NA,0,None,No
2,504,Imalu,Unburnt,Cneso,Eucalypt,375.4,427,3.2,3.1,0.411126302,2,3,NA,0,None,No
2,505,Imalu,Unburnt,Emini,Eucalypt,40,45.5,NA,NA,0.341852214,0.9,0.1,NA,0,None,No
1,505,Imalu,Unburnt,Emini,Eucalypt,50,40,NA,NA,0.341852214,0.9,0.1,NA,0,None,No
1,507,Imalu,Unburnt,Pcare,Pantropical,48,54,NA,NA,0.340126953,0.9,0.1,NA,0,None,No
2,507,Imalu,Unburnt,Pcare,Pantropical,54,52,NA,0.3,0.340126953,0.9,0.1,NA,0,None,No
2,509,Imalu,Unburnt,Etetr,Eucalypt,201,202,1.7,1.7,0.281490885,0,5,NA,0,None,No
1,509,Imalu,Unburnt,Etetr,Eucalypt,218.2,201,1.8,1.7,0.281490885,0,5,NA,0,Epicormic,No
1,510,Imalu,Unburnt,Cneso,Eucalypt,66,122,NA,NA,0.392395833,5,5,NA,0,None,No
2,510,Imalu,Unburnt,Cneso,Eucalypt,122,150,NA,0.6,0.392395833,5,5,NA,0,None,No
1,511,Imalu,Unburnt,Bobov,Pantropical,144.5,150.8,NA,4.1,0.520615234,0,0,NA,0,None,No
2,511,Imalu,Unburnt,Bobov,Pantropical,150.8,147,4.1,4.2,0.520615234,0,0,NA,0,None,No
1,512,Imalu,Unburnt,Pcare,Pantropical,356.5,370.5,4.4,4.2,0.399065755,2.5,7.5,NA,0,None,No
2,512,Imalu,Unburnt,Pcare,Pantropical,370.5,412.5,4.2,4.8,0.399065755,2.5,7.5,NA,0,None,No
2,514,Imalu,Unburnt,Pcare,Pantropical,77,NA,1,NA,0.409697266,0.1,0.9,NA,0,None,No
1,514,Imalu,Unburnt,Pcare,Pantropical,84,77,1.7,1,0.409697266,0.1,0.9,NA,0,None,No
1,515,Imalu,Unburnt,Etetr,Eucalypt,425.6,434.5,3.1,3.2,0.303694661,0.75,14.25,NA,0,Epicormic,No
2,515,Imalu,Unburnt,Etetr,Eucalypt,434.5,435.5,3.2,3.4,0.303694661,0.75,14.25,NA,0,None,No
2,516,Imalu,Unburnt,Etetr,Eucalypt,84,149,1.2,1.4,0.26663737,2.5,2.5,NA,0,Epicormic,No
1,516,Imalu,Unburnt,Etetr,Eucalypt,139,84,NA,1.2,0.26663737,2.5,2.5,NA,0,None,No
1,517,Imalu,Unburnt,Etetr,Eucalypt,132,151.5,1.2,1.1,0.380335286,0,0,NA,0,None,No
2,517,Imalu,Unburnt,Etetr,Eucalypt,151.5,180,1.1,1.1,0.380335286,0,0,NA,0,Epicormic,No
1,518,Imalu,Unburnt,Emini,Eucalypt,95.5,111,NA,NA,0.436048177,0,5,NA,0,Basal,No
2,518,Imalu,Unburnt,Emini,Eucalypt,111,144.5,NA,0.8,0.436048177,0,5,NA,0,None,No
1,519,Imalu,Unburnt,Cneso,Eucalypt,65,123.5,NA,NA,0.375611979,2,8,NA,0,None,No
2,519,Imalu,Unburnt,Cneso,Eucalypt,123.5,NA,NA,0.7,0.375611979,2,8,NA,0,None,No
1,589,Taracumbi,Annual,Emini,Eucalypt,108.5,56,NA,NA,0.256553498,24,6,No,320,Basal,No
2,784,Shark Bay B,Annual,Tferd,Pantropical,51,56,NA,NA,0.153222656,5.5,49.5,No,300,Basal,No
2,904,Pikertaramoor,Annual,Bobov,Pantropical,60,56,NA,1,0.256878255,NA,NA,No,1500,Basal,No
1,521,Shark Bay B,Annual,Bmega,Pantropical,24,17.5,1.2,NA,0.312021484,25.5,4.5,Yes,140,Basal,No
1,521,Shark Bay B,Annual,Bmega,Pantropical,24,17.5,1.2,NA,0.312021484,25.5,4.5,Yes,140,Basal,No
1,2255,Shark Bay C,Annual,Pcare,Pantropical,91,56,NA,NA,0.025459761,6.5,58.5,No,365,None,No
1,778,Shark Bay B,Annual,Tferd,Pantropical,77.5,56.5,1.2,1,0.277249349,36,4,No,100,Basal,No
1,5,Taracumbi,Annual,Alate,Acacia,112.5,57,NA,NA,0.311191406,17.5,17.5,No,470,Basal,No
2,593,Shark Bay A,Annual,Emini,Eucalypt,85,57,NA,0.7,0.408238932,9.5,0.5,No,150,Basal,No
1,789,Pikertaramoor,Annual,Emini,Eucalypt,134.5,57,1,NA,0.282171224,NA,NA,No,160,Basal,No
1,525,Imalu,Annual,Pcare,Pantropical,192.4,228.5,3.2,3.5,0.43414388,2,18,Yes,160,Basal,No
1,1007,Pikertaramoor,Annual,Aexce,Pantropical,61,57,NA,NA,0.306302083,NA,NA,No,150,Basal,No
1,526,Shark Bay B,Annual,Cneso,Eucalypt,493,526,4.2,4.5,0.225419922,40.5,4.5,Yes,140,None,No
2,526,Shark Bay B,Annual,Cneso,Eucalypt,526,582.7,4.5,5.1,0.225419922,40.5,4.5,Yes,250,None,No
2,753,Taracumbi,Annual,Echlo,Pantropical,141.5,57.5,1.2,0.8,0.194199219,21.25,3.75,No,2000,Basal,No
1,748,Taracumbi,Annual,Echlo,Pantropical,91.5,58,1.5,NA,0.212307943,19.5,45.5,No,140,None,No
1,2257,Shark Bay C,Annual,Pcare,Pantropical,98,58.5,1.9,NA,0.433520107,45,45,No,320,Basal,No
1,551,Taracumbi,Annual,Echlo,Pantropical,204.2,59.5,2.8,NA,0.149378255,26.25,8.75,No,510,Basal,No
2,1007,Pikertaramoor,Annual,Aexce,Pantropical,57,59.5,NA,0.3,0.306302083,NA,NA,No,1000,Basal,No
1,14,Taracumbi,Annual,Etetr,Eucalypt,73.5,60,NA,NA,0.347985026,18,12,No,440,Basal,No
2,525,Imalu,Annual,Pcare,Pantropical,228.5,60,3.5,0.4,0.43414388,2,18,No,1500,Basal,No
1,604,Imalu,Annual,Echlo,Pantropical,78.5,60,1.4,NA,0.358938802,0.25,24.75,No,250,Basal,No
1,620,Shark Bay A,Annual,Pcare,Pantropical,51.5,60,NA,NA,0.417034505,4.75,0.25,No,70,None,No
1,659,Shark Bay C,Annual,Tferd,Pantropical,85.5,60,1,NA,0.42702474,39,26,No,280,Basal,No
1,669,Taracumbi,Annual,Cneso,Eucalypt,89.5,60,NA,NA,0.385494792,21,14,No,450,Basal,No
1,749,Taracumbi,Annual,Bobov,Pantropical,32,60,NA,NA,0.238238932,12,8,No,160,Basal,No
1,533,Imalu,Annual,Emini,Eucalypt,356.2,431.3,2.8,3.5,0.401468099,5,15,Yes,140,None,No
1,765,Taracumbi,Annual,Bobov,Pantropical,56,60,NA,NA,0.179882812,22.5,52.5,No,440,Basal,No
1,534,Imalu,Annual,Cneso,Eucalypt,313.8,350,3,3.3,0.445950521,22.5,7.5,Yes,240,None,No
1,904,Pikertaramoor,Annual,Bobov,Pantropical,43.5,60,1,NA,0.256878255,NA,NA,No,160,Basal,No
2,918,Shark Bay B,Annual,Etetr,Eucalypt,50,60,NA,0.2,0.560209254,3,57,No,350,Basal,No
1,535,Imalu,Annual,Emini,Eucalypt,113,93,1,1.2,0.362434896,1.2,13.8,Yes,0,Basal,No
2,922,Shark Bay B,Annual,Cneso,Eucalypt,100.5,60,NA,0.2,0.230449219,12,3,No,250,Basal,No
2,971,Shark Bay B,Annual,Bobov,Pantropical,64,60,NA,NA,0.171760807,0,90,No,300,Basal,No
1,985,Pikertaramoor,Annual,Aexce,Pantropical,59.5,60,NA,NA,0.257841797,NA,NA,No,140,Basal,No
1,1247,Shark Bay A,Annual,Alate,Acacia,45.5,60,NA,NA,0.341642014,1.5,3.5,No,50,Epicormic,No
2,1283,Shark Bay B,Annual,Gheli,Proteaceae,50,60,NA,0.2,0.523531901,5,5,No,100,None,No
1,2201,Shark Bay C,Annual,Pcare,Pantropical,58.5,60,NA,NA,0.276890319,6,4,No,100,None,No
1,2217,Shark Bay C,Annual,Cneso,Eucalypt,60.5,60,NA,NA,0.307546176,NA,NA,No,130,Basal,No
1,2295,Shark Bay C,Annual,Aexce,Pantropical,98,60,NA,NA,0.403548177,24,16,No,165,Basal,No
1,25A,Pikertaramoor,Annual,Etetr,Eucalypt,145.5,60,1,NA,0.350022848,NA,NA,No,170,Both,No
1,705,Shark Bay B,Annual,Aexce,Pantropical,39,60.5,NA,NA,0.569339193,9,6,No,260,Basal,No
2,2212,Shark Bay C,Annual,Pcare,Pantropical,167,60.5,3.5,0.8,0.333097067,7.5,42.5,No,500,Basal,No
1,2271,Shark Bay C,Annual,Pcare,Pantropical,56.5,60.5,NA,NA,0.294777136,17.5,7.5,No,70,None,No
1,543,Shark Bay B,Annual,Pcare,Pantropical,329.7,345.5,4.4,4.3,0.242945964,1.5,13.5,Yes,280,None,No
2,543,Shark Bay B,Annual,Pcare,Pantropical,345.5,370.5,4.3,5.3,0.242945964,1.5,13.5,Yes,0,None,No
1,544,Shark Bay B,Annual,Emini,Eucalypt,673.9,738.5,4.7,5.4,0.17890625,2,18,Yes,0,None,No
2,544,Shark Bay B,Annual,Emini,Eucalypt,738.5,826.9,5.4,5.9,0.17890625,2,18,Yes,200,None,No
1,287,Imalu,Annual,Bobov,Pantropical,51.5,61,NA,1.1,0.48476888,24,36,No,300,Basal,No
1,581,Imalu,Annual,Etetr,Eucalypt,87.5,61,NA,NA,0.274609375,3,17,No,120,Basal,No
2,546,Shark Bay B,Annual,Bmega,Pantropical,82,132,1.5,1.5,0.109189453,7.5,7.5,Yes,150,Basal,No
2,546,Shark Bay B,Annual,Bmega,Pantropical,82,132,1.5,1.5,0.109189453,7.5,7.5,Yes,150,Basal,No
2,717,Taracumbi,Annual,Pcare,Pantropical,43,61,NA,0.4,0.41233724,7.5,22.5,No,1000,Basal,No
2,775,Shark Bay B,Annual,Tferd,Pantropical,24,61,NA,0.7,0.445344387,65,0,No,250,Basal,No
2,900,Pikertaramoor,Annual,Bmega,Pantropical,25,61,NA,NA,0.267692057,NA,NA,No,1200,Basal,No
1,548,Imalu,Annual,Etetr,Eucalypt,223.6,81.4,1.7,NA,0.393102214,0.6,29.4,Yes,195,Basal,No
1,548,Imalu,Annual,Etetr,Eucalypt,223.6,81.4,1.7,NA,0.393102214,0.6,29.4,Yes,195,Basal,No
1,946,Shark Bay B,Annual,Cneso,Eucalypt,205.1,61,1.4,NA,0.416750777,7.5,7.5,No,230,Basal,No
2,2257,Shark Bay C,Annual,Pcare,Pantropical,58.5,61.2,NA,0.4,0.433520107,45,45,No,1000,Basal,No
2,974,Pikertaramoor,Annual,Cneso,Eucalypt,90,61.5,NA,0.4,0.187991536,NA,NA,No,1000,Basal,No
1,2215,Shark Bay C,Annual,Aexce,Pantropical,61.5,61.5,NA,NA,0.382394649,12,8,No,430,Basal,No
2,2247,Shark Bay C,Annual,Emini,Eucalypt,62,61.5,NA,0.3,0.303580157,22.5,2.5,No,1000,Basal,No
2,2258,Shark Bay C,Annual,Gheli,Proteaceae,36,61.5,NA,NA,0.240650255,7.5,17.5,No,800,Basal,No
2,2281,Shark Bay C,Annual,Aexce,Pantropical,130,61.5,1,0.3,0.407783602,19,1,No,600,Basal,No
1,577,Imalu,Annual,Bobov,Pantropical,87.5,62,1.8,1,0.369378255,3.75,21.25,No,190,Basal,No
2,554,Taracumbi,Annual,Bobov,Pantropical,38,55.5,NA,0.6,0.250258059,36,4,NA,0,Basal,No
1,724,Taracumbi,Annual,Pcare,Pantropical,68.5,62,NA,NA,0.165677083,28,7,No,330,Basal,No
1,754,Taracumbi,Annual,Aexce,Pantropical,82.5,62,NA,NA,0.380657552,21,14,No,750,None,No
1,995,Pikertaramoor,Annual,Cneso,Eucalypt,80,62,NA,NA,0.31413737,NA,NA,No,210,Basal,No
1,2247,Shark Bay C,Annual,Emini,Eucalypt,83,62,NA,NA,0.303580157,22.5,2.5,No,430,Basal,No
2,286,Imalu,Annual,Echlo,Pantropical,68,62.1,1.2,0.2,0.389664828,5,20,No,1500,Basal,No
2,685,Taracumbi,Annual,Echlo,Pantropical,51,62.5,NA,0.4,0.331057943,24,36,No,2000,Basal,No
2,558,Shark Bay B,Annual,Emini,Eucalypt,38,87,NA,0.4,0.467285156,2.5,2.5,Yes,0,Epicormic,No
1,558,Shark Bay B,Annual,Emini,Eucalypt,163.4,38,1.1,NA,0.467285156,2.5,2.5,Yes,125,Basal,No
1,558,Shark Bay B,Annual,Emini,Eucalypt,163.4,38,1.1,NA,0.467285156,2.5,2.5,Yes,125,Basal,No
1,559,Taracumbi,Annual,Emini,Eucalypt,306.7,385,2.9,3.3,0.194811198,22.5,22.5,Yes,240,Basal,No
2,24A,Shark Bay C,Annual,Pcare,Pantropical,38,62.9,NA,0.4,0.285013021,12,8,No,400,Basal,No
2,631,Shark Bay C,Annual,Tferd,Pantropical,51,63,NA,0.6,0.19320638,12,28,No,400,Basal,No
1,689,Shark Bay A,Annual,Pcare,Pantropical,68.5,63,NA,NA,0.399781901,4.5,0.5,No,80,Basal,No
2,790,Pikertaramoor,Annual,Cneso,Eucalypt,47,63,NA,0.3,0.216731771,NA,NA,No,800,Basal,No
1,592,Shark Bay B,Annual,Emini,Eucalypt,30.5,63.5,NA,NA,0.424915365,7.5,7.5,No,300,Basal,No
2,562,Shark Bay B,Annual,Aexce,Pantropical,229.8,307,2.6,2.8,0.341598307,1.5,13.5,Yes,150,Epicormic,No
1,562,Shark Bay B,Annual,Aexce,Pantropical,282.5,229.8,1.5,2.6,0.341598307,1.5,13.5,Yes,130,None,No
1,563,Shark Bay B,Annual,Cneso,Eucalypt,153.4,103,1,NA,0.175273437,10.5,24.5,Yes,170,Basal,No
1,563,Shark Bay B,Annual,Cneso,Eucalypt,153.4,103,1,NA,0.175273437,10.5,24.5,Yes,170,Basal,No
2,551,Taracumbi,Annual,Echlo,Pantropical,59.5,64,NA,0.3,0.149378255,26.25,8.75,No,1500,Basal,No
1,564,Imalu,Annual,Aexce,Pantropical,366,215,2.8,1.5,0.362789714,1.25,23.75,Yes,240,Basal,No
1,564,Imalu,Annual,Aexce,Pantropical,366,215,2.8,1.5,0.362789714,1.25,23.75,Yes,240,Basal,No
1,609,Taracumbi,Annual,Cneso,Eucalypt,82,64,NA,NA,0.247665538,9,6,No,300,Basal,No
1,700,Imalu,Annual,Pcare,Pantropical,45,64,NA,NA,0.437177405,5,15,No,170,Basal,No
1,718,Taracumbi,Annual,Echlo,Pantropical,93.5,64,1.6,NA,0.367740885,18,22,No,400,Basal,No
1,942,Pikertaramoor,Annual,Emini,Eucalypt,58,64,NA,NA,0.180016276,NA,NA,No,170,Basal,No
1,567,Imalu,Annual,Aexce,Pantropical,159.5,221.5,1,2.1,0.33141276,12,8,Yes,0,None,No
1,971,Shark Bay B,Annual,Bobov,Pantropical,62.5,64,NA,NA,0.171760807,0,90,No,340,Basal,No
2,2201,Shark Bay C,Annual,Pcare,Pantropical,60,64,NA,0.5,0.276890319,6,4,No,600,Basal,No
1,757,Taracumbi,Annual,Echlo,Pantropical,61.5,65,NA,NA,0.186897786,20,30,No,200,Basal,No
1,788,Pikertaramoor,Annual,Aexce,Pantropical,76.5,65,NA,NA,0.233798828,NA,NA,No,175,Basal,No
1,972,Shark Bay B,Annual,Cneso,Eucalypt,134,65,NA,NA,0.545163774,7.5,7.5,No,300,Basal,No
1,1009,Pikertaramoor,Annual,Etetr,Eucalypt,82.5,65,NA,NA,0.256536458,NA,NA,No,220,Basal,No
1,1269,Shark Bay B,Annual,Gheli,Proteaceae,63.5,65.5,NA,NA,0.209554036,10,10,No,80,Epicormic,No
1,249,Imalu,Annual,Tferd,Pantropical,65,66,NA,NA,0.377014974,4,16,No,300,Basal,No
